waypoint1	waypoint2	distance_m	duration_s
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1406589	47405
Toltec Mounds, Scott, AR	Shelburne Farms, Harbor Road, Shelburne, VT	2274624	78940
Shelburne Farms, Harbor Road, Shelburne, VT	USS Constitution, Boston, MA	352908	12452
Fort Sumter National Monument, Sullivan's Island, SC	Craters of the Moon National Monument & Preserve, Arco, ID	3760470	121907
Terrace Hill, Grand Avenue, Des Moines, IA	Mount Vernon, Fairfax County, Virginia	1662991	55080
French Quarter, New Orleans, LA	Fort Sumter National Monument, Sullivan's Island, SC	1223403	39519
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Graceland, Elvis Presley Boulevard, Memphis, TN	2399554	77822
Acadia National Park, Maine	Liberty Bell, 6th Street, Philadelphia, PA	924645	33583
Maryland State House, 100 State Cir, Annapolis, MD 21401	Wright Brothers National Memorial Visitor Center, Manteo, NC	519176	18673
USS Alabama, Battleship Parkway, Mobile, AL	Lost World Caverns, Lewisburg, WV	1302307	41488
Cape Canaveral, FL	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	3635731	117187
French Quarter, New Orleans, LA	Bryce Canyon National Park, Hwy 63, Bryce, UT	2717996	91440
Hoover Dam, NV	Wright Brothers National Memorial Visitor Center, Manteo, NC	4004005	128250
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	5079239	165668
The Breakers, Ochre Point Avenue, Newport, RI	White House, Pennsylvania Avenue Northwest, Washington, DC	653307	24519
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Lost World Caverns, Lewisburg, WV	2460677	80686
Hoover Dam, NV	USS Alabama, Battleship Parkway, Mobile, AL	2861883	92934
Fort Snelling, Tower Avenue, Saint Paul, MN	Statue of Liberty, Liberty Island, NYC, NY	1934123	64758
Terrace Hill, Grand Avenue, Des Moines, IA	Ashfall Fossil Bed, Royal, NE	460112	17066
Yellowstone National Park, WY 82190	Olympia Entertainment, Woodward Avenue, Detroit, MI	2695125	91337
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	The Alamo, Alamo Plaza, San Antonio, TX	3517343	114964
Columbia River Gorge National Scenic Area, Oregon	Ashfall Fossil Bed, Royal, NE	2359209	79992
USS Constitution, Boston, MA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2347308	77179
New Castle Historic District, Delaware	Gateway Arch, Washington Avenue, St Louis, MO	1437025	49788
Olympia Entertainment, Woodward Avenue, Detroit, MI	Maryland State House, 100 State Cir, Annapolis, MD 21401	885711	29641
Fort Sumter National Monument, Sullivan's Island, SC	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1080930	36437
Ashfall Fossil Bed, Royal, NE	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1415730	49548
Yellowstone National Park, WY 82190	Toltec Mounds, Scott, AR	2419546	81507
Graceland, Elvis Presley Boulevard, Memphis, TN	Liberty Bell, 6th Street, Philadelphia, PA	1634964	53555
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Hanford Site, Benton County, WA	4385250	142838
Olympia Entertainment, Woodward Avenue, Detroit, MI	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3850939	122453
Maryland State House, 100 State Cir, Annapolis, MD 21401	USS Constitution, Boston, MA	691694	24757
Gateway Arch, Washington Avenue, St Louis, MO	Carlsbad Caverns National Park, Carlsbad, NM	1704640	57741
Yellowstone National Park, WY 82190	Ashfall Fossil Bed, Royal, NE	1235995	47640
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	581412	21568
Grand Canyon National Park, Arizona	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	4316197	141329
Toltec Mounds, Scott, AR	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	696215	22933
Columbia River Gorge National Scenic Area, Oregon	The Breakers, Ochre Point Avenue, Newport, RI	4790490	155428
Glacier National Park, West Glacier, MT	Graceland, Elvis Presley Boulevard, Memphis, TN	2982190	101632
Columbia River Gorge National Scenic Area, Oregon	USS Constitution, Boston, MA	4814512	156225
New Castle Historic District, Delaware	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	1876615	64345
Toltec Mounds, Scott, AR	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	3179769	101423
Cape Canaveral, FL	Acadia National Park, Maine	2534691	84815
Pikes Peak, Colorado	Statue of Liberty, Liberty Island, NYC, NY	2909086	98108
Glacier National Park, West Glacier, MT	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3369066	110347
Carlsbad Caverns National Park, Carlsbad, NM	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1858566	62899
Hoover Dam, NV	Bryce Canyon National Park, Hwy 63, Bryce, UT	470908	16040
Shelburne Farms, Harbor Road, Shelburne, VT	Acadia National Park, Maine	544911	23532
White House, Pennsylvania Avenue Northwest, Washington, DC	Shelburne Farms, Harbor Road, Shelburne, VT	815739	30496
Wright Brothers National Memorial Visitor Center, Manteo, NC	Graceland, Elvis Presley Boulevard, Memphis, TN	1513958	50126
Cape Canaveral, FL	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1328218	42294
Hoover Dam, NV	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3516916	113365
Terrace Hill, Grand Avenue, Des Moines, IA	Cape Canaveral, FL	2229311	72974
French Quarter, New Orleans, LA	Ashfall Fossil Bed, Royal, NE	1916765	65378
Hoover Dam, NV	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	2925806	92724
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2866081	93335
Pikes Peak, Colorado	USS Constitution, Boston, MA	3327699	109708
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Mount Vernon, Fairfax County, Virginia	2868913	94241
Columbia River Gorge National Scenic Area, Oregon	Gateway Arch, Washington Avenue, St Louis, MO	3128321	100793
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	1509170	52571
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	The Alamo, Alamo Plaza, San Antonio, TX	1939428	67663
Ashfall Fossil Bed, Royal, NE	Graceland, Elvis Presley Boulevard, Memphis, TN	1310698	46900
Cape Canaveral, FL	Bryce Canyon National Park, Hwy 63, Bryce, UT	3733898	124298
Shelburne Farms, Harbor Road, Shelburne, VT	Mount Vernon, Fairfax County, Virginia	838747	31329
USS Alabama, Battleship Parkway, Mobile, AL	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	625397	21709
Pikes Peak, Colorado	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	2110257	72737
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Congress Hall, Congress Place, Cape May, NJ 08204	826433	29311
Shelburne Farms, Harbor Road, Shelburne, VT	Lost World Caverns, Lewisburg, WV	1199299	41685
Acadia National Park, Maine	Ashfall Fossil Bed, Royal, NE	2988631	101643
Toltec Mounds, Scott, AR	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2503709	84972
The Breakers, Ochre Point Avenue, Newport, RI	San Andreas Fault, San Benito County, CA	5103126	166140
Yellowstone National Park, WY 82190	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	1725271	60666
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Statue of Liberty, Liberty Island, NYC, NY	1023175	35331
White House, Pennsylvania Avenue Northwest, Washington, DC	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1259332	43192
The Breakers, Ochre Point Avenue, Newport, RI	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	3057999	101532
Hoover Dam, NV	Statue of Liberty, Liberty Island, NYC, NY	4078427	131757
Olympia Entertainment, Woodward Avenue, Detroit, MI	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	418717	14378
New Castle Historic District, Delaware	French Quarter, New Orleans, LA	1900188	62241
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Liberty Bell, 6th Street, Philadelphia, PA	337338	12896
White House, Pennsylvania Avenue Northwest, Washington, DC	Hanford Site, Benton County, WA	4241452	137852
Olympia Entertainment, Woodward Avenue, Detroit, MI	Lost World Caverns, Lewisburg, WV	751741	27109
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Fort Snelling, Tower Avenue, Saint Paul, MN	1402360	44627
Taliesin, County Road C, Spring Green, Wisconsin	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1869248	62739
Grand Canyon National Park, Arizona	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	2462148	77868
Yellowstone National Park, WY 82190	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	1608811	55813
Mount Vernon, Fairfax County, Virginia	Craters of the Moon National Monument & Preserve, Arco, ID	3630343	118197
Mount Vernon, Fairfax County, Virginia	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1280757	43904
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Wright Brothers National Memorial Visitor Center, Manteo, NC	974305	32206
Toltec Mounds, Scott, AR	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1001994	33105
Congress Hall, Congress Place, Cape May, NJ 08204	USS Constitution, Boston, MA	598411	21665
Toltec Mounds, Scott, AR	San Andreas Fault, San Benito County, CA	3004953	97313
Toltec Mounds, Scott, AR	Lost World Caverns, Lewisburg, WV	1326109	43276
The Breakers, Ochre Point Avenue, Newport, RI	Glacier National Park, West Glacier, MT	4023653	135329
The Breakers, Ochre Point Avenue, Newport, RI	Gateway Arch, Washington Avenue, St Louis, MO	1822396	63112
Acadia National Park, Maine	The Alamo, Alamo Plaza, San Antonio, TX	3718928	122458
Fort Sumter National Monument, Sullivan's Island, SC	Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	3179558	103509
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	1231682	41489
Grand Canyon National Park, Arizona	Gateway Arch, Washington Avenue, St Louis, MO	2308665	72724
Taliesin, County Road C, Spring Green, Wisconsin	Liberty Bell, 6th Street, Philadelphia, PA	1520502	51959
New Castle Historic District, Delaware	Graceland, Elvis Presley Boulevard, Memphis, TN	1570606	51951
Carlsbad Caverns National Park, Carlsbad, NM	Wright Brothers National Memorial Visitor Center, Manteo, NC	3016473	98983
Cape Canaveral, FL	Graceland, Elvis Presley Boulevard, Memphis, TN	1341258	44346
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	San Andreas Fault, San Benito County, CA	2485901	83863
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Congress Hall, Congress Place, Cape May, NJ 08204	4775270	153502
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3363862	107113
New Castle Historic District, Delaware	Cape Canaveral, FL	1544583	49975
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Shelburne Farms, Harbor Road, Shelburne, VT	2954965	100552
New Castle Historic District, Delaware	Wright Brothers National Memorial Visitor Center, Manteo, NC	422162	17379
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Statue of Liberty, Liberty Island, NYC, NY	2983852	98683
Cape Canaveral, FL	Hanford Site, Benton County, WA	4766407	152782
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Shelburne Farms, Harbor Road, Shelburne, VT	1280422	46472
Yellowstone National Park, WY 82190	Gateway Arch, Washington Avenue, St Louis, MO	2148792	74301
Cape Canaveral, FL	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1528313	49288
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	USS Alabama, Battleship Parkway, Mobile, AL	1180006	40068
USS Constitution, Boston, MA	Liberty Bell, 6th Street, Philadelphia, PA	495038	18442
New Castle Historic District, Delaware	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1794302	58773
Terrace Hill, Grand Avenue, Des Moines, IA	Craters of the Moon National Monument & Preserve, Arco, ID	1969397	63511
Hoover Dam, NV	Acadia National Park, Maine	4857457	158420
Terrace Hill, Grand Avenue, Des Moines, IA	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	333113	11189
USS Alabama, Battleship Parkway, Mobile, AL	Bryce Canyon National Park, Hwy 63, Bryce, UT	2854091	97040
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Liberty Bell, 6th Street, Philadelphia, PA	4626854	148292
Toltec Mounds, Scott, AR	French Quarter, New Orleans, LA	670161	24386
Hoover Dam, NV	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	938239	31512
Fort Sumter National Monument, Sullivan's Island, SC	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	1407416	47733
Grand Canyon National Park, Arizona	Taliesin, County Road C, Spring Green, Wisconsin	2555807	83776
Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	Bryce Canyon National Park, Hwy 63, Bryce, UT	1417261	48616
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Terrace Hill, Grand Avenue, Des Moines, IA	1012008	32302
Olympia Entertainment, Woodward Avenue, Detroit, MI	Pikes Peak, Colorado	2190092	71601
Grand Canyon National Park, Arizona	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	2732563	86572
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Lost World Caverns, Lewisburg, WV	1442759	47156
Craters of the Moon National Monument & Preserve, Arco, ID	Lost World Caverns, Lewisburg, WV	3375573	109230
Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	Vicksburg National Military Park, Clay Street, Vicksburg, MS	2575997	84797
Taliesin, County Road C, Spring Green, Wisconsin	Craters of the Moon National Monument & Preserve, Arco, ID	2398626	77775
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Hoover Dam, NV	1831327	59512
White House, Pennsylvania Avenue Northwest, Washington, DC	Olympia Entertainment, Woodward Avenue, Detroit, MI	847101	28601
Acadia National Park, Maine	Statue of Liberty, Liberty Island, NYC, NY	779355	28679
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	908130	33801
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	2608579	87070
Terrace Hill, Grand Avenue, Des Moines, IA	Fort Sumter National Monument, Sullivan's Island, SC	1936485	62889
Columbia River Gorge National Scenic Area, Oregon	Fort Snelling, Tower Avenue, Saint Paul, MN	2638062	84292
Yellowstone National Park, WY 82190	Taliesin, County Road C, Spring Green, Wisconsin	2075224	72318
USS Alabama, Battleship Parkway, Mobile, AL	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2496630	83487
Toltec Mounds, Scott, AR	White House, Pennsylvania Avenue Northwest, Washington, DC	1627313	53108
The Alamo, Alamo Plaza, San Antonio, TX	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1645458	53323
Gateway Arch, Washington Avenue, St Louis, MO	Glacier National Park, West Glacier, MT	2628059	89264
Statue of Liberty, Liberty Island, NYC, NY	The Alamo, Alamo Plaza, San Antonio, TX	2933460	94883
Carlsbad Caverns National Park, Carlsbad, NM	Lost World Caverns, Lewisburg, WV	2627621	87509
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Statue of Liberty, Liberty Island, NYC, NY	2406284	81187
Hoover Dam, NV	Mount Vernon, Fairfax County, Virginia	3904526	124111
Olympia Entertainment, Woodward Avenue, Detroit, MI	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1582772	52112
Yellowstone National Park, WY 82190	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3446653	117541
Gateway Arch, Washington Avenue, St Louis, MO	Hoover Dam, NV	2549263	80285
Columbia River Gorge National Scenic Area, Oregon	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	4426182	144033
Glacier National Park, West Glacier, MT	The Alamo, Alamo Plaza, San Antonio, TX	2995591	98433
Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	Wright Brothers National Memorial Visitor Center, Manteo, NC	4874201	156276
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Bryce Canyon National Park, Hwy 63, Bryce, UT	2818397	91111
Toltec Mounds, Scott, AR	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	849822	27948
Columbia River Gorge National Scenic Area, Oregon	Taliesin, County Road C, Spring Green, Wisconsin	3013796	98105
Olympia Entertainment, Woodward Avenue, Detroit, MI	Glacier National Park, West Glacier, MT	2895149	97822
Toltec Mounds, Scott, AR	Terrace Hill, Grand Avenue, Des Moines, IA	1007426	32558
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	Liberty Bell, 6th Street, Philadelphia, PA	2302327	77119
Fort Sumter National Monument, Sullivan's Island, SC	Bryce Canyon National Park, Hwy 63, Bryce, UT	3649551	117750
French Quarter, New Orleans, LA	Pikes Peak, Colorado	2019629	68681
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	French Quarter, New Orleans, LA	1043911	34468
Fort Snelling, Tower Avenue, Saint Paul, MN	USS Constitution, Boston, MA	2236960	75263
Maryland State House, 100 State Cir, Annapolis, MD 21401	San Andreas Fault, San Benito County, CA	4594279	149429
Congress Hall, Congress Place, Cape May, NJ 08204	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	1311554	44322
Grand Canyon National Park, Arizona	Maryland State House, 100 State Cir, Annapolis, MD 21401	3659127	118281
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	San Andreas Fault, San Benito County, CA	2527020	83427
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	2052842	69520
Yellowstone National Park, WY 82190	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	856780	33513
Hoover Dam, NV	Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	3101057	98134
Columbia River Gorge National Scenic Area, Oregon	Mount Vernon, Fairfax County, Virginia	4377862	140990
New Castle Historic District, Delaware	Hanford Site, Benton County, WA	4363591	142668
Grand Canyon National Park, Arizona	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	3274812	105631
Mount Vernon, Fairfax County, Virginia	Bryce Canyon National Park, Hwy 63, Bryce, UT	3597733	118001
New Castle Historic District, Delaware	Shelburne Farms, Harbor Road, Shelburne, VT	751134	27898
Vicksburg National Military Park, Clay Street, Vicksburg, MS	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1000446	32386
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	827545	27595
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN	1484285	50891
C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1749501	58478
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108	4384467	140890
Toltec Mounds, Scott, AR	Hoover Dam, NV	2312537	73074
Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	Craters of the Moon National Monument & Preserve, Arco, ID	3747257	123835
New Castle Historic District, Delaware	Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA	1264487	42272
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH	391906	13716
USS Constitution, Boston, MA	Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL	1863224	61977
Glacier National Park, West Glacier, MT	Congress Hall, Congress Place, Cape May, NJ 08204	3834316	128249
Columbia River Gorge National Scenic Area, Oregon	Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY	3571511	116486
The Breakers, Ochre Point Avenue, Newport, RI	Maryland State House, 100 State Cir, Annapolis, MD 21401	637102	23346
Grand Canyon National Park, Arizona	Congress Hall, Congress Place, Cape May, NJ 08204	3879839	125643
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Glacier National Park, West Glacier, MT	788472	29478
Hanford Site, Benton County, WA	Liberty Bell, 6th Street, Philadelphia, PA	4339013	140805
The Breakers, Ochre Point Avenue, Newport, RI	Hoover Dam, NV	4369087	142769
Olympia Entertainment, Woodward Avenue, Detroit, MI	Statue of Liberty, Liberty Island, NYC, NY	993338	33536
The Breakers, Ochre Point Avenue, Newport, RI	Graceland, Elvis Presley Boulevard, Memphis, TN	2057815	69050
USS Alabama, Battleship Parkway, Mobile, AL	Pikes Peak, Colorado	2157564	74419
Grand Canyon National Park, Arizona	USS Alabama, Battleship Parkway, Mobile, AL	2615325	85819
New Castle Historic District, Delaware	Statue of Liberty, Liberty Island, NYC, NY	298132	10943
New Castle Historic District, Delaware	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2747119	91059
Hoover Dam, NV	Cape Canaveral, FL	3741691	120191
Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	702803	22767
Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND	Liberty Bell, 6th Street, Philadelphia, PA	2943788	96389
The Mark Twain House & Museum, Farmington Avenue, Hartford, CT	Mount Rushmore National Memorial, South Dakota 244, Keystone, SD	2932400	96191
Hanford Site, Benton County, WA	Vicksburg National Military Park, Clay Street, Vicksburg, MS	3685721	118721
Olympia Entertainment, Woodward Avenue, Detroit, MI	Fort Sumter National Monument, Sullivan's Island, SC	1329533	45946
Taliesin, County Road C, Spring Green, Wisconsin	Lost World Caverns, Lewisburg, WV	1273680	44056
Fort Snelling, Tower Avenue, Saint Paul, MN	Mount Vernon, Fairfax County, Virginia	1810094	60573
Taliesin, County Road C, Spring Green, Wisconsin	San Andreas Fault, San Benito County, CA	3458781	111281
Congress Hall, Congress Place, Cape May, NJ 08204	The Alamo, Alamo Plaza, San Antonio, TX	2882943	94436
Mount Vernon, Fairfax County, Virginia	Acadia National Park, Maine	1159086	41945
Gateway Arch, Washington Avenue, St Louis, MO	C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS	453220	15283
Fort Sumter National Monument, Sullivan's Island, SC	Wright Brothers National Memorial Visitor Center, Manteo, NC	715393	23441
Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH	Ashfall Fossil Bed, Royal, NE	1400148	47314
White House, Pennsylvania Avenue Northwest, Washington, DC	Vicksburg National Military Park, Clay Street, Vicksburg, MS	1637791	52746
USS Constitution, Boston, MA	Lost World Caverns, Lewisburg, WV	1126003	38407
Fort Snelling, Tower Avenue, Saint Paul, MN	Wright Brothers National Memorial Visitor Center, Manteo, NC	2236906	75591
